FIMP,Declaration Date,Bank,Description,Amount_EUR,Amount,Currency
1040,16/02/2023,APS Bank,Deposits,"203,140.43","203,140.43",EUR
1041,12/04/2023,APS Bank,Savings Account,"24,584.33","24,584.33",EUR
1041,12/04/2023,APS Bank,Savings Account,"1,565.20","1,565.20",EUR
1041,12/04/2023,APS Bank,Term Deposit,"15,881.77","15,881.77",EUR
1041,12/04/2023,APS Bank,Term Deposit,"35,000.00","35,000.00",EUR
1042,12/04/2023,BOV,"Savings Account: 1) NB. on 25/7/2022 sold together with my sister, my deceased's mother inherited property and my share was of EUR 160,000; and 2) NB. on 10/10/2022 sold together with my sister and uncle, my deceased's mother share property and my share was EUR 3,451.3","213,795.52","213,795.52",EUR
1043,19/04/2023,Bank of Valletta plc (Jinkludu flus depozitati f'isem il-konjugi),Savings and Current Accounts,"2,132.07","2,132.07",EUR
1043,19/04/2023,HSBC Bank plc Jinkludu flus depozitati f'isem il-konjugi,Savings and Current Accounts,"12,280.72","12,280.72",EUR
1043,19/04/2023,Revolut Jinkludu flus depozitati f'isem il-konjugi,Current Account,248.11,248.11,EUR
1044,24/04/2023,APS,Savings Account,"8,337.88","8,337.88",EUR
1044,24/04/2023,BOV (Loan),Loan Home 1,"-82,804.00","-82,804.00",EUR
1044,24/04/2023,BOV (Loan),Loan Home 2,"-235,050.00","-235,050.00",EUR
1044,24/04/2023,APS (Loan),Loan Home 2,"-30,000.00","-30,000.00",EUR
1045,30/04/2023,HSBC,Deposits,"50,126.21","50,126.21",EUR
1045,30/04/2023,HSBC,Mortgages/Credit,"-517,630.90","-517,630.90",EUR
1045,30/04/2023,BOV,Deposits,441.56,441.56,EUR
1046,08/04/2023,BNF,Term deposit,"32,500.00","32,500.00",EUR
1046,08/04/2023,BNF,Term deposit,"19,000.00","19,000.00",EUR
1046,08/04/2023,BNF,Savings,EUR 395.37 sa tmiem l-ahhar legislatura,EUR 395.37 sa tmiem l-ahhar legislatura,EUR
1046,08/04/2023,BOV,Savings,"2,448.00","2,448.00",EUR
1046,08/04/2023,HSBC,Current,"5,526.65","5,526.65",EUR
1046,08/04/2023,HSBC,Savings,"120,785.36","120,785.36",EUR
1047,29/03/2023,HSBC,Savings Account,"60,935.89","60,935.89",EUR
1047,29/03/2023,HSBC,Current Account,690.89,690.89,EUR
1047,29/03/2023,HSBC,Kids Plan/ Karus Account,"12,274.59","12,274.59",EUR
1047,29/03/2023,HSBC,Home Loan,"-23,745.54","-23,745.54",EUR
1047,29/03/2023,HSBC,Mortgage,"-31,484.15","-31,484.15",EUR
1048,18/04/2023,BOV,Savings Account,"2,502.67","2,502.67",EUR
1049,03/03/2023,BOV,Kontijiet Bankarji (inkluz tal-minuri),"180,609.05","180,609.05",EUR
1049,03/03/2023,KBC,Kont Bankarju,"10,414.77","10,414.77",EUR
1049,03/03/2023,ING,Kontijiet Bankarji,"253,629.25","253,629.25",EUR
1050,06/03/2023,HSBC,Joint Savings Account,"124,646.35","124,646.35",EUR
1050,06/03/2023,HSBC,Current Account,"2,584.70","2,584.70",EUR
1051,16/03/2023,Revolut,Debit Card,279.14,279.14,EUR
1051,16/03/2023,BOV ,E Account - Savings Cashlink,"1,588.02","1,588.02",EUR
1051,16/03/2023,BOV,Current Account,405.00,405.00,EUR
1051,16/03/2023,BOV,Savings Account (Bid Bond),0.00,0.00,EUR
1051,16/03/2023,BOV,Current Account,127.45,127.45,EUR
1051,16/03/2023,BOV,Savings Account,10.89,10.89,EUR
1051,16/03/2023,APS Bank,A Plus Account (Joint) - Deposit and Loan,"-7,528.00","-7,528.00",EUR
1052,26/04/2023,Lombard Bank,Savings Account,"182,090.00","182,090.00",EUR
1052,26/04/2023,Lombard Bank,Joint/Savings with Sharon De Marco,"13,060.00","13,060.00",EUR
1052,26/04/2023,Lombard Bank,Current Account,"8,904.00","8,904.00",EUR
1053,28/03/2023,BOV,Current Account (myself),"35,000.00","35,000.00",EUR
1053,28/03/2023,BOV,Current Account (spouse),"5,660.00","5,660.00",EUR
1053,28/03/2023,HSBC,Current Account (spouse),"15,058.12","15,058.12",EUR
1053,28/03/2023,APS Bank,Current Account (joint account),"5,459.78","5,459.78",EUR
1054,20/04/2023,BOV,Savings Account,"150,000.00","150,000.00",EUR
1055,13/02/2023,BNF Loans,,"-78,000.00","-78,000.00",EUR
1055,13/02/2023,HSBC Loans,,"-195,000.00","-195,000.00",EUR
1056,09/02/2023,Local Banks,Deposits,"147,810.73","147,810.73",EUR
1057,30/04/2023,BOV,Savings - 132-016--07011,"480,000.00","480,000.00",EUR
1057,30/04/2023,BOV,Savings - 400-218-20436,"150,160.64","127,982.00",GBP
1057,30/04/2023,BOV,Savings - 400-229-42818,"1,316.00","1,316.00",EUR
1058,02/02/2023,BOV/APS Bank,Savings Account,"10,000.00","10,000.00",EUR
1059,25/04/2023,BOV,Personal Overdraft,"-55,586.00","-55,586.00",EUR
1059,25/04/2023,BOV,Savings Account,374.56,374.56,EUR
1059,25/04/2023,BOV,Savings Account FC,47.78,47.78,EUR
1059,25/04/2023,BOV,VISA Platinum,28.07,28.07,EUR
1059,25/04/2023,BOV,Business Loan,"-57,807.51","-57,807.51",EUR
1060,21/04/2023,Investment portfolio managed by BOV,,"1,448,023.89","1,448,023.89",EUR
1060,21/04/2023,APS Account,,"1,675.91","1,675.91",EUR
1060,21/04/2023,CMB Account,,720.66,720.66,EUR
1061,22/02/2023,BOV,Savings Account,"589,132.48","589,132.48",EUR
1061,22/02/2023,BOV,Current Account,10.00,10.00,EUR
1061,22/02/2023,HSBC,Savings Account,"70,509.00","70,509.00",EUR
1061,22/02/2023,HSBC,Savings Account,"21,124.00","21,124.00",EUR
1062,25/04/2023,BOV,Savings Account,"26,001.08","26,001.08",EUR
1063,16/02/2023,BOV,Total Savings,"112,441.60","112,441.60",EUR
1064,20/02/2023,BOV,,"91,122.00","91,122.00",EUR
1064,20/02/2023,BOV (spouse),,"153,802.00","153,802.00",EUR
1064,20/02/2023,BNF,,"19,800.00","19,800.00",EUR
1064,20/02/2023,Lombard Bank,,"12,052.00","12,052.00",EUR
1064,20/02/2023,Credit Europe,,-600.00,-600.00,EUR
1065,11/04/2023,"Accounts in Local Banks: BOV, HSBC, BNF, MedDirect",Savings and Current Accounts,"215,694.59","215,694.59",EUR
1065,11/04/2023,Debts with Local Banks,HSBC Home Loan,"-148,661.49","-148,661.49",EUR
1066,22/02/2023,HSBC,Savings Account,"70,447.00","70,447.00",EUR
1066,22/02/2023,HSBC home loans,Loan Mortgage,"-248,532.00","-248,532.00",EUR
1066,22/02/2023,HSBC UK,Savings Account,"7,362.43","6,275.00",GBP
1067,22/02/2023,BOV,Savings Account,"29,076.42","29,076.42",EUR
1067,22/02/2023,MeDirect Bank (Malta) plc,Savings Account,"3,867.80","3,867.80",EUR
1068,27/04/2023,BOV,"Accounts: Savings, Eaccount, Current, Visa","4,041.84","4,041.84",EUR
1068,27/04/2023,APS Bank,"Accounts: APlus, Savings (depozitati f'ismi u f'isem ir-ragel)","65,942.60","65,942.60",EUR
1068,27/04/2023,HSBC,Ara dokument mehmuz,"2,750.30","2,750.30",EUR
1069,10/04/2023,APS Bank,Savings Account,"93,634.00","93,634.00",EUR
1070,22/04/2023,HSBC,Savings/Current/ Fixed,"223,745.92","223,745.92",EUR
1070,22/04/2023,BOV,Savings Account,"19,214.10","19,214.10",EUR
1070,22/04/2023,HSBC UK,Savings Account,"6,826.86","5,818.55",GBP
1070,22/04/2023,HSBC Office A/C,Current Account,"6,315.84","6,315.84",EUR
1071,23/04/2023,BOV,Savings Account,"8,800.00","8,800.00",EUR
1072,01/02/2023,BOV,,"26,607.00","26,607.00",EUR
1072,01/02/2023,HSBC,,"2,100.00","2,100.00",EUR
1073,15/02/2023,BOV,Savings Account,734.27,734.27,EUR
1074,26/04/2023,HSBC (joint account),Kont Kurrenti,500.00,500.00,EUR
1074,26/04/2023,Bank of Valletta (f'isem marti),Kont Kurrenti,"20,500.00","20,500.00",EUR
1074,26/04/2023,APS Bank (f'ismi),Kont Kurrenti,"1,000.00","1,000.00",EUR
1074,26/04/2023,HSBC Bank f'isem marti,Kont kurrenti gej mill-writ ta' omm il-mara causa illegible,"45,000.00","45,000.00",EUR
1075,27/03/2023,HSBC,033-127580-001,4.52,4.52,EUR
1075,27/03/2023,HSBC,033-127580-050,5.00,5.00,EUR
1075,27/03/2023,HSBC,033-127580–341,"-12,330.73","-12,330.73",EUR
1075,27/03/2023,HSBC,085-074714-001,-131.94,-131.94,EUR
1075,27/03/2023,HSBC,085-074714–050,"1,333.05","1,333.05",EUR
1075,27/03/2023,HSBC,085–074714-051,"14,000.00","14,000.00",EUR
1075,27/03/2023,HSBC,033-386806-050,"3,339.41","3,339.41",EUR
1075,27/03/2023,HSBC,28000005,"-27,921.30","-27,921.30",EUR
1075,27/03/2023,HSBC,16205121,"-57,972.92","-57,972.92",EUR
1075,27/03/2023,HSBC,16223533,"-19,937.15","-19,937.15",EUR
1075,27/03/2023,HSBC,27029703,"-49,174.64","-49,174.64",EUR
1075,27/03/2023,HSBC,27035932,"74,994.26","74,994.26",EUR
1075,27/03/2023,HSBC,27017326,"-68,466.24","-68,466.24",EUR
1076,08/03/2023,BOV,Savings Account,"20,728.00","20,728.00",EUR
1076,08/03/2023,BOV,Current Account,0.01,0.01,EUR
1077,27/04/2023,Kontijiet Bankarji,Savings and Current Accounts,"183,574.00","183,574.00",EUR
1078,08/02/2023,BOV,Savings Account,"41,133.00","41,133.00",EUR
1078,08/02/2023,BOV,Savings Account ,"120,038.00","120,038.00",EUR
1078,08/02/2023,HSBC,Savings Account,"7,850.00","7,850.00",EUR
1078,08/02/2023,BOV,Home Loan,"-36,281.00","-36,281.00",EUR
1079,19/02/2023,BNF Bank,Cheque Book Account (Form 7),"15,900.00","15,900.00",EUR
1080,28/03/2023,Lombard Bank,Current Account,"1,579.22","1,579.22",EUR
1080,28/03/2023,BOV,Savings Account (wife),"113,317.42","113,317.42",EUR
1080,28/03/2023,BOV,Current Account (wife),10.00,10.00,EUR
1080,28/03/2023,BOV,Current Account (joint),"18,003.91","18,003.91",EUR
1080,28/03/2023,BOV,Savings Account,"6,218.55","6,218.55",EUR
