Period,Year,Party,Category,Type_of_Donation,Amount,Number_of_Donations,Donor
May - August,2018,Partit Laburista,A,"Total individual donations exceeding €7,000","25,000.00",1,Sensiela Kotba Socjalisti
January - April,2019,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"13,397.00",N/A,Anonymous
May - August,2019,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,91.00,N/A,Anonymous
May - August,2019,Partit Laburista,C,Total individual donations not exceeding €500,"294,848.00","20,372",Anonymous
May - August,2019,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","202,280.00",75,Anonymous
January - December,2016,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"921,436.00",N/A,Anonymous
January - December,2016,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"27,263.00",N/A,Anonymous
January - December,2016,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","202,888.00",N/A,Anonymous
January - December,2016,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","18,599.00",1,Dr Anthony Abela
January - December,2017,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"1,289,763.00",N/A,Anonymous
January - December,2017,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"763,260.00",2781,Anonymous
January - December,2017,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","1,300,516.00",525,Anonymous
January - December,2017,Partit Nazzjonalista,A,"Total individual donations exceeding €7,000","10,320.00",1,Sam Abela
January - April,2018,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"195,979.00",10348,Anonymous
May - August,2018,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"194,203.00",11837,Anonymous
September - December ,2018,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"365,042.00",23144,Anonymous
January - April,2018,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"70,249.00",337,Anonymous
May - August,2018,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"62,066.00",277,Anonymous
September - December ,2018,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"102,040.00",493,Anonymous
January - April,2018,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","94,975.00",53,Anonymous
May - August,2018,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","114,034.00",56,Anonymous
September - December ,2018,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","361,696.00",157,Anonymous
September - December ,2018,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","10,100.00",1,Sam Abela
January - April,2019,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"184,626.00",11448,Anonymous
May - August,2019,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"134,282.00",8323,Anonymous
September - December ,2019,Partit Nazzjonalista,B ,Total donations not exceeding €50 collected during manifestations,"319,717.00",22278,Anonymous
January - April,2019,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"47,903.00",217,Anonymous
May - August,2019,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"50,645.00",262,Anonymous
September - December ,2019,Partit Nazzjonalista,C,Total individual donations not exceeding €500,"84,748.00",456,Anonymous
January - April,2019,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","287,152.00",116,Anonymous
May - August,2019,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","191,715.00",82,Anonymous
September - December ,2019,Partit Nazzjonalista,D,"Total individual donations exceeding €500 but not €7,000","296,431.00",135,Anonymous
